date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:50	59942/59942	---M--	200	added ('OK')	image/jpeg	etag:%22ea26-58cb2c7c9dc54%22	https://homesociete.ca/uploads/2019/06/jardin-de-ville-2.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/jardin-de-ville-2.jpg	(from https://homesociete.ca/)
19:51:51	41057/41057	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202019%2016:51:41%20GMT	https://homesociete.ca/careers/	C:/My%20Web%20Sites/homesociete/homesociete.ca/careers/index.html	(from https://homesociete.ca/)
19:51:51	49699/49699	---M--	200	added ('OK')	image/jpeg	etag:%22c223-58cb2c7ca1ebd%22	https://homesociete.ca/uploads/2019/06/maison-corbeil-2.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/maison-corbeil-2.jpg	(from https://homesociete.ca/)
19:51:52	60839/60839	---M--	200	added ('OK')	image/jpeg	etag:%22eda7-58cb2c7c9fb95%22	https://homesociete.ca/uploads/2019/06/maison-corbeil-1.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/maison-corbeil-1.jpg	(from https://homesociete.ca/)
19:51:52	176485/176485	---M--	200	added ('OK')	image/jpeg	etag:%222b165-58cb2c7c9a5a3%22	https://homesociete.ca/uploads/2019/06/jardin-de-ville-1.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/jardin-de-ville-1.jpg	(from https://homesociete.ca/)
19:51:53	34741/34741	---M--	200	added ('OK')	image/jpeg	etag:%2287b5-58cb2c7ca3a16%22	https://homesociete.ca/uploads/2019/06/velvet.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/velvet.jpg	(from https://homesociete.ca/)
19:51:53	34250/34250	---M--	200	added ('OK')	image/jpeg	etag:%2285ca-58cb2c7ca6126%22	https://homesociete.ca/uploads/2019/06/ca.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/ca.jpg	(from https://homesociete.ca/)
19:51:53	32545/32545	---M--	200	added ('OK')	image/jpeg	etag:%227f21-58cb2c7ca74af%22	https://homesociete.ca/uploads/2019/06/flou.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/flou.jpg	(from https://homesociete.ca/)
19:51:53	42075/42075	---M--	200	added ('OK')	image/jpeg	etag:%22a45b-58cb2c7ca4d9e%22	https://homesociete.ca/uploads/2019/06/colette.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/colette.jpg	(from https://homesociete.ca/)
19:51:54	38788/38788	---M--	200	added ('OK')	image/jpeg	etag:%229784-58cb2c7ca8837%22	https://homesociete.ca/uploads/2019/06/london-art.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/london-art.jpg	(from https://homesociete.ca/)
19:51:54	35317/35317	---M--	200	added ('OK')	image/jpeg	etag:%2289f5-58cb2c7ca9bbf%22	https://homesociete.ca/uploads/2019/06/kartell.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/kartell.jpg	(from https://homesociete.ca/)
19:51:55	43189/43189	---M--	200	added ('OK')	image/jpeg	etag:%22a8b5-58cb2c7caaf48%22	https://homesociete.ca/uploads/2019/06/ligne-roset-1.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/ligne-roset-1.jpg	(from https://homesociete.ca/)
19:51:55	48283/48283	---M--	200	added ('OK')	image/jpeg	etag:%22bc9b-58cb2c7cb247a%22	https://homesociete.ca/uploads/2019/06/moretti-2.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/moretti-2.jpg	(from https://homesociete.ca/)
19:51:55	3910/3910	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202019%2016:51:55%20GMT	https://homesociete.ca/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/homesociete/homesociete.ca/cdn-cgi/l/email-protection.html	(from https://homesociete.ca/)
19:51:56	42555/42555	---M--	200	added ('OK')	image/jpeg	etag:%22a63b-58cb2c7caf599%22	https://homesociete.ca/uploads/2019/06/moretti-1.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/moretti-1.jpg	(from https://homesociete.ca/)
19:51:56	54989/54989	---M--	200	added ('OK')	image/jpeg	etag:%22d6cd-58cb2c7cacaa0%22	https://homesociete.ca/uploads/2019/06/ligne-roset-2.jpg	C:/My%20Web%20Sites/homesociete/homesociete.ca/uploads/2019/06/ligne-roset-2.jpg	(from https://homesociete.ca/)
19:51:56	134/134	---MC-	500	error ('Internal%20Server%20Error')	application/json	date:Tue,%2003%20Sep%202019%2016:51:56%20GMT	https://homesociete.ca/wp-ajax.php?action=process_form_submissions	C:/My%20Web%20Sites/homesociete/homesociete.ca/wp-ajax9732.php	(from https://homesociete.ca/)
19:51:56	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d66ad86-4d7%22	https://homesociete.ca/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/homesociete/homesociete.ca/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://homesociete.ca/)
